Headline,Actual Tag,Predicted Tag
જાણો - પેટ્રોલ કારના મુકાબલે કેટલી સસ્તી પડે છે ઈલેક્ટ્રીક કાર,Tech,Tech
ફરવા જવાનો કરી રહ્યાં છો પ્લાન? તો ઈન્ડિગો 899 રૂપિયામાં કરાવશે હવાઈ સફર,Business,Business
"સેન્સેક્સમાં 300 પૉઇન્ટનું ગાબડું, નિફ્ટી 10360ની પાસે",Business,Business
"મોદી સરકારની પેન્શન સ્કીમમાં 5 ફેરફારોને મંજૂરી, નિવૃત્તિ બાદ મળશે ટેક્સ ફ્રી પેન્શન",Business,Business
"ભારતીય મૂળની મોડલે કર્યો ખુલાસો, 16 વર્ષની ઉંમરે થયો હતો બળાત્કાર",Entertainment,Entertainment
6000 રૂપિયાથી પણ ઓછામાં બ્લૂએ લોન્ચ કર્યો ધમાકેદાર સ્માર્ટફોન,Business,Tech
શું આલિયા પર ગુસ્સે ભરાયો હતો રણબીર કપૂર? એક્ટ્રેસે આપ્યો જવાબ,Entertainment,Entertainment
"દીપિકા-રણવીર જોડાયા લગ્નગ્રંથીએ, પારંપરિક કોંકણી વિધિથી થયા ઇટાલીમાં લગ્ન",Entertainment,Entertainment
દર મહિને 4499 રૂપિયા આપીને ખરીદો iPhone XS,Tech,Tech
"મોદી સરકાર લાવી રહી છે ચિપ વાળો પાસપોર્ટ, નહીં થઇ શકે છેડછાડ",Business,Business
"એક ફોનમાં તમે પણ ચલાવી શકો છો બે WhatsApp એકાઉન્ટ, આ છે રીત",Tech,Tech
જેડટીઇ કંપનીએ લોન્ચ કર્યો બ્લેડ V580 સ્માર્ટફોન,Business,Business
સાજિદ ખાનના #MeToo આરોપ અંગે પૂછાયેલા સવાલોમાં ફસાયા કિરણ ખેર અને મલાઇકા,Entertainment,Entertainment
ટીવીની આ હોટ હસીનાએ બ્લૂ બિકીનીમાં કરાવ્યું ફોટોશૂટ,Entertainment,Entertainment
"હાલ 4 હજાર રૂપિયા જ બદલી અપાશે, વધારો નહીં કરાય: આરબીઆઇ",Business,Business
ઇનસ્ટાગ્રામ પર  મોનિકાની ટોપલેસ તસવીરો થઇ રહી છે વાઇરલ,Entertainment,Entertainment
"માત્ર 168 રુપિયાના રિચાર્જ પર કરો દિવસભર વાતો, ઇન્ટરનેટ પણ ફ્રી",Tech,Tech
જન્મ દિવસ વિશેષઃ 'તેરી ખૂશ્બૂ મેં ડૂબે ખત મે જલાતા કૈસે...',Entertainment,Entertainment
શોપિંગ દરમિયાન બેબી બંપ ફ્લોન્ટ કરતા નજર આવી  શાહિદની પત્ની,Entertainment,Entertainment
"2019માં તમારી સેલરીમાં થશે આટલો વધારો, જાણો કેટલા ટકા મળશે ગ્રોથ",Business,Business
"નોટબંધી: રૂપિયાની મુશ્કેલી પખવાડિયામાં ઉકેલાઇ જશે, સરળતાથી મળશે 500ની નવી નોટો",Business,Business
"દીકરીનાં સ્વાસ્થ્યમાં બેદરકારી રાખવા બદલ, પાક એક્ટર ફવાદ ખાનની પત્ની વિરુદ્ધ FIR દાખલ",Entertainment,Entertainment
આરબીઆઇનો વૃદ્ધિનો અંદાજ આર્થિક સર્વેક્ષણ સાથે મળે છેઃ નાણામંત્રાલય,Business,Business
"Railwayએ બંધ કરી આ સુવિધા, જાણી લો નહિંતર મોંઘુ પડશે",Business,Business
કચરામાંથી કરોડોની કમાણી કરે છે આ લોકો,Business,Business
હવે RAC અને વેઇટિંગ ટિકિટ હશે તો પણ મળશે કન્ફર્મ ટિકિટ,Business,Business
"ધોની પાસે કેવુ છે બાઇકનું કલેકશન?, સાક્ષીએ શેર કર્યા ફોટા",Entertainment,Entertainment
"Gym Look:મલાઇકા, કરિના કે ઇલયાનાની તસવીરો વાઇરલ",Entertainment,Entertainment
કેમ અરબાઝ ખાન સાથે લીધા છૂટાછેડા? પહેલીવાર મલાઇકાએ કર્યો ખુલાસો,Entertainment,Entertainment
ટ્વીટર પર કરાયેલી  મેપની ફરિયાદનો જવાબ google શાયરીથી આપ્યો,Tech,Tech
કપિલ શર્માની નવી વેનિટી વેનની તસવીરો જોઈને તમે કહેશો OMG,Entertainment,Entertainment
હવે એટીએમ મશીનો વધુ સ્માર્ટ બનશે,Business,Business
દિશા પટણી ફરી એકવાર બિકીની લૂકમાં આવી નજર,Entertainment,Entertainment
"જલદીથી થઈ શકે છે રૂ.70ના 1 ડૉલર, જાણો રૂપિયો શા માટે ઘસાઈ રહ્યો છે",Business,Business
બ્રેકઅપનાં સમાચાર વચ્ચે મિલિંદ સોમાનની GFએ શેર કરી ખાસ તસવીરો,Entertainment,Entertainment
Union Budget 2019: રેલવે મુસાફરો અને કર્મચારીઓને મળી શકે છે મોટી ભેટ,Business,Business
"Exclusive Interview : વધુ એક ભારતીયનો ડંકો, ગૂગલે આપ્યું 1.80 કરોડનું પેકેજ",Business,Tech
બ્લેક એન્ડ વ્હાઇટ અવતારમાં દીપિકા પાદુકોણ લાગી રહી છે જબરદસ્ત,Entertainment,Entertainment
"આધાર કાર્ડ પર જનતાને મોટો ઝટકો, હવે અપડેટ કરવામાં લાગશે ચાર્જ",Business,Business
"ઘણી હોલિવૂડ ફિલ્મને પછાડી, આ ભારતીય ફિલ્મે યૂટ્યૂબ પર રચ્યો ઇતિહાસ",Entertainment,Entertainment
આવી રીતે પૈસા વગર ઓનલાઇન રેલવે ટિકિટ બુક કરાવી શકાશે,Tech,Tech
"શેરબજારમાં કડાકો, સેન્સેક્સ, નિફ્ટી તળિયે, જોવો Video",Business,Business
નિયમો વિરુદ્ધ પ્રદર્શનઃ રાજકોટ સહિત સમગ્ર સૌરાષ્ટ્રમાં સોમવારે સોની બજાર બંધ,Business,Business
"આ યોજનામાં Aadhaar કાર્ડથી મળશે રૂ. 2000, જાણો આધાર બનાવવાની પ્રોસેસ",Business,Business
"આ હિરોઇન સાથે લિવ-ઇનમાં રહેવા ઇચ્છે છે કાર્તિક આર્યન, કરી જાહેરાત",Entertainment,Entertainment
"બેંક-ખાતામાં રૂ.15 લાખ સંબંધમાં RTI અરજદારે માહિતી માગી,PMOનો ઇનકાર",Business,Business
બાલ ઠાકરેની બાયોપિક પર સેન્સરને વાંધો; શિવસેનાએ કહ્યું- કટ વગર રિલીઝ થશે,Entertainment,Entertainment
RTOની આ નવી સિસ્ટમથી લાયસન્સની સમસ્યામાં મળશે મુક્તિ,Tech,Tech
"Post Officeમાં રૂ. 20માં ખુલે છે આ ખાતું, મળે છે ATMની પણ સુવિધા",Business,Business
માત્ર 10 દિવસમાં કરો આ કામ અને મેળવો 10 લાખ રૂપિયાનું ઈનામ,Business,Business
"મળી ગયો 'કપિલ શર્મા શો'નો મિસિંગ કોમેડિયન, જુઓ ખાસ VIDEO",Entertainment,Entertainment
"Family Time: આખા ખાન પરિવારે સાથે લીધુ લંચ, અરબાઝ પણ પહોચ્યો GF સાથે",Entertainment,Entertainment
"નોટબંધી-GSTના નકારાત્મક પ્રભાવથી દેશ બહાર, વિશ્વ બેંકે 7.3% GDPની સેવી આશા",Business,Business
"આ બેંકે રોકાણકારોને કર્યા માલામાલ, 1 સપ્તાહમાં આપ્યો 33% ફાયદો",Business,Business
"એપલ iPhone માં પણ મળશે એન્ડ્રોઇડ જેવું આ ફિચર્સ, જાણો ક્યારે થશે લોન્ચ",Tech,Tech
"Spotted: અર્જુન કપૂરની સાથે જોવા મળી મલાઇકા, રવિવારે સાથે લીધુ લંચ",Entertainment,Entertainment
"ગુજરાત બજેટ 2017: વિકાસ, સહાય માટે નાણામંત્રી શું બોલ્યા? જુઓ બજેટ સ્પીચ",Business,Business
અલોકનાથ સંસ્કારીથી બળાત્કારી સુધી: Twitter પર 'બાબૂજી' થયા ટ્રોલ,Entertainment,Entertainment
સંબંધમાં કડવાશ હોવા છતાં અર્જુન કપૂરે આવી રીતે નિભાવ્યો 'પુત્ર હોવાનો ધર્મ',Entertainment,Entertainment
VIDEO: સ્ટંટબાજીમાં અજય દેવગણનો પણ બાપ છે તેનો દીકરો યુગ,Entertainment,Entertainment
બેંકો દ્વારા વ્યાજદરોમાં ધટાડાથી લોન લેનાર ગ્રાહકને લાભ,Business,Business
'ઝીરો'માં કેટરિનાનો FIRST LOOK શાહરૂખે કર્યો શેર,Entertainment,Entertainment
જિયોના પ્લાનને ટક્કર આપવા એરટેલે લોન્ચ કર્યો એકદમ સસ્તો પ્લાન,Business,Tech
Amazon પર આ પાંચ સવાલોના આપો જવાબ અને જીતો 50 હજાર રુપિયા,Tech,Business
"ફક્ત 1 રૂપિયામાં કરો ખરીદી, સાત દિવસ માટે Paytm આપે છે ખાસ તક",Tech,Tech
"એક સમયે શૅફ હતો જેકી, આવી રીતે બોલિવૂડમાં બનાવી ઓળખ",Entertainment,Entertainment
"એટીએમ બહાર કતારો લાગી, કેશ ના મળતાં લોકો થયા નિરાશ",Business,Business
"નોટબંધી મામલે પહેલી વાર બોલ્યા આરબીઆઇ ગવર્નર ઉર્જિત પટેલ, શું કહ્યું? જાણો",Business,Business
"ઇટલીમાં નહીં થાય રણવીર-દીપિકાનાં લગ્ન, અંતિમ સમયે બદલાયુ વેન્યૂ",Entertainment,Entertainment
"બેબી બમ્પ છુપાવવાને બદલે સ્ટાઇલમાં નીકળી મીરા, જુઓ તસવીરો",Entertainment,Entertainment
"અપનાવો આ ટિપ્સ, કોઇ નહીં ખોલી શકે તમારા પ્રાઇવેટ ડોક્યુમેન્ટ",Tech,Business
"બજેટ ગરીબને શક્તિ, ખેડૂતને મજબૂતી, અર્થવ્યવસ્થાને નવું બળ આપશે: પીએમ મોદી",Business,Business
જાણીતા ફિલ્મ મેકર મૃણાલ સેનનું નિધન,Entertainment,Entertainment
"6 કરોડ લોકો માટે ખુશખબર, EPF વ્યાજ 8.55થી વધારી 8.65 ટકા કરાયું",Business,Business
"Box Office: ભારતમાં ફ્લોપ રાનીની 'હિચકી' ચીનમાં જામી, કરી 100 કરોડની કમાણી",Entertainment,Entertainment
"કંઇક આવા અંદાજમાં પિતા સાથે ડિનર કરવા પહોંચી અનન્યા પાંડે, તસવીરો",Entertainment,Entertainment
"ટાઇગરે કર્યો 'ઉર્વશી' ના સોંગ જબરદસ્ત ડાન્સ, શું તમે જોયો?",Entertainment,Entertainment
રિસેપ્શન પર અલગ જ અંદાજમાં અનારકલી ડ્રેસ પહેરીને પહોંચી પ્રિયંકા,Entertainment,Entertainment
"બેંક મોબાઇલ-એપ્સ ઉપયોગ કરનારા સાવધાન, ખાતામાંથી આ રીતે પૈસા જઈ શકે છે",Business,Business
"આ કંપનીએ તૈયાર કર્યો ઉપગ્રહ, સમગ્ર વિશ્વમાં ફ્રીમા મળશે ઇન્ટરનેટ",Tech,Tech
મોદીનો ટ્રમ્પનો સણસણતો જવાબ: 30 પ્રોડક્ટસ પર લગાવ્યો 100% ટેક્સ,Business,Business
"આજથી 10 લાખથી વધારે બેંકકર્મી હડતાલ પર, તમને આવી મુશ્કેલીઓ નડી શકે",Business,Business
"'મોગલી'નું ટ્રેલર રિલીઝ, એક ઈન્ટેન્સ કહાની લઈને આવ્યો છે મોગલી",Entertainment,Entertainment
મોબાઈલ એપ લોન્ચ: એસટી બસમાં એડવાન્સ કરાવી શકાશે બુકીંગ,Business,Tech
"'સંજૂ' માટે નગ્ન થયો રણબીર, ટ્રેલરમાં જોવા મળ્યો સીન",Entertainment,Entertainment
શોપિંગ સમયે આ રીતે ચોરી થાય છે તમારા  ATM કાર્ડની વિગતો,Business,Business
"OnePlus 6Tથી 5,000 રુપિયા સસ્તામાં આ રીતે ખરીદી શકો છો iPhone7",Tech,Tech
ગુજરાતના સુવર્ણકારોએ રામલીલા મેદાનમાં કર્યું શક્તિ પ્રદર્શન,Business,Business
કેમ દુબઇમાં રોકાઇ હતી શ્રીદેવી? જાણવા મળ્યું રસપ્રદ કારણ,Entertainment,Entertainment
"Appleના CEO ટીમ કૂકે ટ્વિટર પર નામ બદલી 'ટીમ એપલ' કર્યું, જાણો કારણ",Tech,Business
કપિલ શર્માને 'નાની'એ આપી શુભેચ્છા તો કોમેડી કિંગ થયો ભાવુક,Entertainment,Entertainment
"ડ્રેસિંગ સેન્સને લઈને ટ્રોલ થઈ હોલીવુડની આ એક્ટ્રેસ, જાણો શું કર્યો ખુલાસો?",Entertainment,Entertainment
"ગરમીમાં ઠંડક મેળવવા સ્વિમિંગ પૂલમાં ઉતરી પ્રિયંકા, જુઓ તસવીરો",Entertainment,Entertainment
"શિલ્પાએ શેર કરી બિકિની તસવીરો, ઉતારી શાહરૂખની નકલ",Entertainment,Entertainment
PM મોદીની મહેનત રંગ લાવશે તો એપલ ભારતમાં બનાવશે ફોન,Business,Tech
"આજની રાત પણ જેલમાં વિતાવશે સલમાન,જામીન પર થશે કાલે નિર્ણય",Entertainment,Entertainment
"વનપ્લસે રજૂ કર્યો 5G સ્માર્ટફોન, જાણો આમાં શું હશે ખાસ",Tech,Tech
"સાઇરસ મિસ્ત્રીને મોટો ફટકો, તાતા સન્સના સસ્પેન્શનને NCLTએ યોગ્ય ગણાવ્યું",Business,Business
MS Wordની જગ્યાએ ગૂગલ ડોકનો ઉપયોગ કરીને મિનિટોમાં ઓછું કરો કલાકોનું કામ,Tech,Business
'બિગ બોસ'ની પૂર્વ સ્પર્ધકે શેર કરી બોલ્ડ તસવીરો,Entertainment,Entertainment
"ધનવાન બનવું છે તો અપનાવી લો આ 7 આદતો, નહીં કરવી પડે ભારે મહેનત",Business,Business
"રીતિક રોશને પૂર્વ પત્ની સુઝેન અને બાળકો સાથે કર્યું લંચ, તસવીરો",Entertainment,Entertainment
"કઠુઆ ગેંગરેપઃ બોલિવૂડ હસ્તીઓએ કહ્યું- 'હિન્દુસ્તાની છું, શરમ અનુભવું છું'",Entertainment,Entertainment
પ્રિયા પ્રકાશ વોરિયરની અદાઓ જેનાંથી રાતો રાત સોશિયલ મીડિયા પર છવાઇ ગઇ તે!,Entertainment,Entertainment
માધુરી દીક્ષિત બનશે આલિયાની મમ્મી અને પપ્પા બનશે આ અભિનેતા,Entertainment,Entertainment
"'જે સંજૂ કેન્સરની શિકાર તેની પત્નીનો ન થયો, તે માધુરીને શું થશે'",Entertainment,Entertainment
બેંકમાં આધાર જરૂરી નથી! હવે આપવા પડશે આ 5 ડૉક્યુમેન્ટ,Business,Business
"'ભારત'ના સેટ પર કેટરિનાએ ફટકાર્યા ચોગ્ગા-છગ્ગા, વીડિયો વાયરલ",Entertainment,Entertainment
"બટાટા 20 લાખ રૂ/કિલો, ચોખા 25 લાખ રૂ/કિલો , કોફી 25 લાખ ,ટામેટા 50 લાખમાં ખરીદે છે આ લોકો",Business,Business
"હીરામાં ધીમા પગલા તેજીનો માહોલ,રત્નકલાકારોની દિવાળી સુધરશે",Business,Business
"સરકારની આ યોજનાથી 11 કરોડ લોકોને થયો ફાયદો, શું તમે ઉઠાવ્યો આનો લાભ?",Business,Business
"કિસાન વિકાસ પત્રમાં ઝડપથી થશે પૈસા ડબલ, જાણો જરૂરી વાતો",Business,Business
"દ્રષ્ટિ છોડી રહી છે 'સિલસિલા' શો, શું દર્શકોની ગાળો બની સિરીયલ છોડવાનું કારણ?",Entertainment,Entertainment
રણવીર અને દીપિકા અહીં મનાવશે વેલેન્ટાઇન ડે,Entertainment,Entertainment
સલમાને કેન્દ્રીય મંત્રી અને CM ખાંડૂ સાથે કેમ ચલાવી 10 કિલોમીટર સુધી સાઇકલ?,Entertainment,Business
"ઇડર તાલુકાનું આ ગામ જ્યાં એક પણ વ્યક્તિ નથી બેરોજગાર, જાણો આવી રીતે કરી સિદ્ધી હાસલ",Business,Business
Twitter CEOએ સંસદીય સમિતિ સામે હાજર થવાની ના પાડી,Tech,Business
છૂટાછેડા પર અરબાઝનું પહેલું નિવેદન- '21 વર્ષનાં પ્રયાસ નિષ્ફળ ગયા',Entertainment,Entertainment
"VIRAL થઇ તૈમૂરની તસવીરો, સાઉથ આફ્રિકામાં ઉજવશે જન્મ દિવસ",Entertainment,Entertainment
હવે આ એક્ટ્રેસ પર ફિલ્માવવામાં આવ્યો માસ્ટરબેશન સીન,Entertainment,Entertainment
ખુશખબર : લગ્નસરામાં સતત ત્રીજા દિવસે ઘટ્યા સોના-ચાંદીના ભાવ,Business,Entertainment
"શેર બજારમાં હાહાકાર, માત્ર 5 મિનીટમાં ડુબી ગયા રૂ. 3 લાખ કરોડ, હવે શું કરે રોકાણકારો",Business,Business
ડુંગળીએ રડાવ્યાઃપોષણક્ષમ ભાવ નહિ મળતા ખેડૂતોએ હરાજી અટકાવી,Business,Business
"સ્માર્ટ ફોન ચોરી થઈ જાય તો, આ રીતે Delete કરો ફોનનો તમામ ડેટા",Tech,Tech
"કપિલ શર્માના ગુજરાતી ફેને પાર કરી તમાર હદો, વીડિયો થયો વાયરલ",Entertainment,Entertainment
મોરબીઃ2012ના કપાસ ખરીદી કૌભાંડમાં જીનીંગ માલિકની ધરપકડ,Business,Business
સિદ્ધાર્થ અને સૌદમીનીનાં રિસેપ્શનમાં સેલિબ્રિટીઝનો સ્ટાઇલિશ અંદાજ!,Entertainment,Entertainment
"MFN સ્ટેટસ પછી PAKને બીજો ફટકો, ભારતે બધા પ્રોડક્ટ પર 200% કસ્ટમ ડ્યૂટી વધારી",Business,Business
ઇરાન ન્યુક્લિયર ડીલ તુટવાની સંભાવનાએ ઓઇલના ભાવમાં થયો વધારો,Business,Business
"નિક-પ્રિયંકા લગ્નમાં મહેમાનોને આપવાનાં છે ખાસ રિટર્ન ગિફ્ટ, જુઓ તસવીરો",Entertainment,Entertainment
રાજકોટઃસિંગતેલમાં બે દિવસમાં ડબ્બે રૂ.30નો વધારો,Business,Business
જર્મનીના સંગીતકાર લુડવિંગ વાન બિથોવેનના નામ પરથી નવા શાસ્ત્રીય રાગનું નામ રખાયું,Entertainment,Entertainment
"BF ટાઇગર સાથે માલદિવમાં દિશા પટણી, શેર કર્યા નવાં PHOTOS",Entertainment,Entertainment
Viral Video: સુસ્મિતા સેને બોડી કટ્સ બતાવી ફેન્સના ઉડાવ્યા હોશ,Entertainment,Entertainment
"હવે કંઇક આવી લાગે છે ધર્મેન્દ્રની પહેલી પત્ની, સનીએ શેર કરી માતાની તસવીર",Entertainment,Entertainment
"રોકડની અછતઃએક બાજુ લાઇનો, બીજી બાજુ રેલમછેલ",Business,Business
Death anniversary: ચેન્નઇમાં જાહ્નવી-ખુશીએ માતા શ્રીદેવી માટે કરી પૂજા,Entertainment,Entertainment
શ્રીદેવીની સંપત્તી જાણીને ચોંકી જશો તમે પણ!,Entertainment,Entertainment
"રિયલ લાઇફમાં બોલ્ડ છે Bigg Boss 12ની આ હોટ કન્ટેસ્ટન્ટ, ફોટા થયા વાયરલ",Entertainment,Entertainment
PICS:'મણિકર્ણિકા ધ ક્વિન ઓફ ઝાંસી'નો જુઓ યોદ્ધા અવતાર,Entertainment,Entertainment
Bigg Boss 11ના ઘરનો જોઇ લો અંદરથી નજારો,Entertainment,Entertainment
મોટી જાહેરાત: Railwayમાં નીકળશે 2 લાખથી વધારે Jobs,Business,Business
"રૂ. 5,499માં ખરીદો નોકિયાનો સ્માર્ટફોન,મળશે 2,200 પાછા",Tech,Tech
VIRAL VIDEO: જુઓ રણવીર-દીપિકાનો 'રામલીલા' સમયે નવો-નવો પાંગરેલો પ્રેમ,Entertainment,Entertainment
"2 વર્ષ બાદ રણવીરે કરાવી ક્લીનશેવ, જિમ બહાર જોવા મળ્યો NEW LOOK",Entertainment,Entertainment
ABCD 3: પાકિસ્તાની ડાન્સરના પાત્રમાં જોવા મળશે શ્રદ્ધા કપૂર!,Entertainment,Entertainment
"એર ઇન્ડિયાનાં કર્મચારીઓ માટે GoodNews,હવે તે પણ બનશે કંપનીનાં માલિક",Business,Business
ટીવીની આ 'સંસ્કારી વહુ' એ બોલ્ડ અવતારમાં પાણીમાં લગાવી આગ,Entertainment,Entertainment
ટાટા સન્સ ગ્રુપના નિર્ણયને હાઇકોર્ટમાં પડકારશે સાયરસ મિસ્ત્રી,Business,Business
"જીયોથી બનશે ડિજિટલ ઇન્ડિયા, શું થશે ફાયદા? મુકેશ અંબાણી સાથે ખાસ મુલાકાત, Video",Business,Business
WhatsApp પર નંબર સેવ કર્યા વગર મોકલો આ રીતે Message,Tech,Tech
"First Look: 'બ્રહ્માસ્ત્ર'માં આવો દેખાશે રણબીર કપૂર, જાણો તેનાં લૂક પાછળની કહાની",Entertainment,Entertainment
"રેલવે હવે ટ્રેનમાં શરૂ કરશે આ સર્વિસ, યાત્રીઓ ઉઠાવી શકશે ફાયદો",Business,Business
"#MeToo: 'વિકી કૌશલનાં પિતા શામ કૌશલ પર આરોપ, 'મને બતાવી હતી પોર્ન ફિલ્મ'",Entertainment,Entertainment
"હવે, તત્કાલ ટિકિટ વધુ મોંઘી, લઘુત્તમ ચાર્જ રૂ.100 લેવાશે",Business,Tech
"શ્રીલંકાથી પરત ફરી દીપિકા, એરપોર્ટ પર બ્લેક આઉટફિટમાં લાગી આવી",Entertainment,Entertainment
"જુઓ, 25 બોલિવૂડ સેલિબ્રિટીઝની તેમનાં બાળકોની Super Cute તસવીરો",Entertainment,Entertainment
ગુજરાત વિધાનસભા ચૂંટણી પહેલાનું બજેટ કેવું છે? કેટલી આવક? કેટલો ખર્ચ? જાણો,Business,Business
મોબાઈલ પછી ફ્રિઝ અને વોશિંગ મશીન પણ બનાવશે માઈક્રોમેક્સ,Tech,Business
"Oppo A5 સ્માર્ટફોન લોન્ચ, જાણો કિમત અને ફિચર્સ",Tech,Tech
"રિલાયન્સની ડિજિટલ ઈન્ડિયા સેલમાં રૂ.10,990માં HD LED TV, 4000 પ્રોડક્ટ પર બમ્પર છૂટ",Tech,Tech
"ટૂંક સમયમાં તમારો મોબાઇલ નંબર થઇ જશે 13 આંકડાનો, જાણો કેમ?",Tech,Business
"Race-3: જેક્લિન ફર્નાન્ડિઝની આંખમાં થઇ કાયમી ઇજા, ઇન્સ્ટાગ્રામ પર જાહેર કર્યુ દર્દ",Entertainment,Entertainment
"આવી રીતે ઘર બેઠાં બનાવો ચૂંટણી કાર્ડ, જાણો સરળ રીત",Business,Business
"70 હજારમાં શરૂ કરો ટી-શર્ટ પ્રિંટીંગનો બિઝનેસ, દર મહિને થશે રૂ. 40 હજારની કમાણી",Business,Business
"Good News! 349 રૂપિયામાં ઘરે લાવો આ ફોન, 15 દિવસ સુધી ચાલશે બેટરી",Tech,Tech
આ અભિનેત્રીનું હોટ ફોટોશૂટ જોઈને તમારા હોશ ઉડી જશે!,Entertainment,Entertainment
"PHOTOS: દેવ દિવાળી ઉજવવા બનારસ પહોંચ્યો અનિલ કપૂર, ઉતારી ગંગા આરતી",Entertainment,Entertainment
ઇફ્તાર પાર્ટીમાં આ હિરોઇને પહેર્યા એવા કપડાં કે થઇ ગઇ બબાલ!,Entertainment,Entertainment
SBI ગ્રાહકો ધ્યાન આપો! બેંક ખાતામાંથી હવે નહીં ઉપડે આનાથી વધુ રૂપિયા,Business,Business
"આંખ મારીને ફરી ફેન્સને ઘાયલ કરી રહી છે પ્રિયા પ્રકાશ, જુઓ વીડિયો",Entertainment,Entertainment
"અભિનેત્રી હંસિકાની બિકીની તસવીરો લીક, સોશિયલ મીડિયામાં વાયરલ",Entertainment,Entertainment
"'આપણે પ્રાર્થના કરીએ,' ઈરફાનની બીમારી પર પત્નીએ લખી ઊર્મિશીલ પોસ્ટ",Entertainment,Entertainment
"રક્ષાબંધન પર Flipkartની બમ્પર ઓફર, મળશે 80% સુધીનુ ડિસ્કાઉન્ટ",Tech,Business
બોલિવૂડની આ અભિનેત્રીઓ ન્યૂડ થઈને સુવાનું કરે છે પસંદ,Entertainment,Entertainment
"દીપિકા-રણવીરનાં લગ્નમાં મહેમાનો માટે બની કઢી, વાંચો આખુ  મેન્યૂ",Entertainment,Entertainment
ગુજરાત સરકારે ટેક્સ વધારતા પેટ્રોલ-ડિઝલ રૂ.2 સુધી મોઘુ થશે,Business,Business
એપ્પલે લોન્ચ કર્યો અત્યાર સુધીનો સૌથી મોટો આઇપેડ,Business,Tech
"80 વર્ષનો થયો સુપરમેન, આવી રીતે થઇ હતી શરૂઆત",Entertainment,Business
"PM મોદી આજથી જર્મનીના પ્રવાસે,ભારતમાં રોકાણનું આપશે આમંત્રણ",Business,Business
સેલરી સાથે જબરદસ્ત સુવિધાઓ પણ આપે છે આ કંપનીઓ,Business,Business
"સેન્સેક્સમાં 289 પૉઇન્ટનો વધારો, નિફ્ટી 10,806 પર",Business,Business
"સાઇના નેહવાલની બાયોપિકનો First Look, આવી લાગે છે શ્રદ્ધા કપૂર",Entertainment,Entertainment
ગુજરાતમાં 70હજાર કરોડનું મૂડી રોકાણ થશેઃ વીજય રૂપાણી,Business,Business
માર્કેટમાં રિલાયન્સની બોલબાલાઃTCSને છોડ્યુ પાછળ,Business,Business
"OMG! જાણીતા 'વિલને' દારૂ પીને રિક્ષાને મારી ટક્કર, 2 ઇજાગ્રસ્ત, થઇ ધરપકડ",Entertainment,Entertainment
"નાના પાટેકર વિરુદ્ધ બોલવા બદલ આવા થયા હતા તનુશ્રીનાં હાલ, જુઓ VIDEO",Entertainment,Entertainment
ખુશખબર! આ કાર પર મળી રહ્યું છે 1 લાખથી વધારે ડિસ્કાઉન્ટ,Tech,Tech
